case:Project,concept:name,time:timestamp
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 14:56:59+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 14:57:53+00:00
project 503,Request Payment,2017-01-25 11:35:31+00:00
project 503,Payment Handled,2017-01-30 17:31:40+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 15:02:39+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:02:53+00:00
project 147582,Request Payment,2017-01-25 11:34:47+00:00
project 147582,Payment Handled,2017-01-30 17:31:40+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 15:18:56+00:00
project 147582,Request For Payment APPROVED by PRE_APPROVER,2017-01-10 15:19:04+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 15:26:13+00:00
project 147582,Request Payment,2017-01-10 15:30:50+00:00
project 147582,Payment Handled,2017-01-12 17:31:32+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-10 17:19:05+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 09:54:26+00:00
project 147546,Request Payment,2017-01-12 10:04:27+00:00
project 147546,Payment Handled,2017-01-16 17:32:18+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-11 11:48:40+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-11 11:48:51+00:00
project 503,Request Payment,2017-01-25 11:33:08+00:00
project 503,Payment Handled,2017-01-30 17:31:40+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 09:07:24+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 09:08:56+00:00
project 147546,Request Payment,2017-01-13 14:13:51+00:00
project 147546,Payment Handled,2017-01-16 17:32:18+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 11:12:33+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 11:12:51+00:00
project 147546,Request Payment,2017-01-13 14:12:38+00:00
project 147546,Payment Handled,2017-01-16 17:32:18+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 11:38:27+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-01-12 11:39:17+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 10:42:06+00:00
project 503,Request Payment,2017-01-19 10:51:49+00:00
project 503,Payment Handled,2017-01-23 17:32:19+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 14:52:53+00:00
project 147620,Request For Payment APPROVED by SUPERVISOR,2017-01-12 14:53:16+00:00
project 147620,Request For Payment FINAL_APPROVED by DIRECTOR,2017-01-17 10:47:38+00:00
project 147620,Request Payment,2017-01-17 15:34:01+00:00
project 147620,Payment Handled,2017-01-19 17:31:50+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-12 16:48:17+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-12 16:48:22+00:00
project 503,Request Payment,2017-01-13 14:11:33+00:00
project 503,Payment Handled,2017-01-16 17:32:18+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 09:36:06+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 09:36:18+00:00
project 147556,Request For Payment REJECTED by MISSING,2017-01-16 09:52:47+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 10:08:48+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 10:09:07+00:00
project 147556,Request Payment,2017-01-20 10:44:56+00:00
project 147556,Payment Handled,2017-01-23 17:32:19+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-13 18:30:34+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-13 18:30:54+00:00
project 503,Request Payment,2017-01-16 15:08:50+00:00
project 503,Payment Handled,2017-01-19 17:31:50+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2017-01-14 12:04:31+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-14 12:06:14+00:00
project 147551,Request Payment,2017-01-25 11:27:59+00:00
project 147551,Payment Handled,2017-01-30 17:31:40+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 10:23:48+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 10:23:57+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 05:15:02+00:00
project 503,Request Payment,2017-02-02 10:23:55+00:00
project 503,Payment Handled,2017-02-06 17:31:45+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 12:10:30+00:00
project 503,Request For Payment REJECTED by PRE_APPROVER,2017-02-06 15:56:17+00:00
project 503,Request For Payment REJECTED by EMPLOYEE,2017-02-06 16:09:19+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 16:38:33+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-02-06 16:38:37+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 17:06:26+00:00
project 503,Request For Payment REJECTED by MISSING,2017-02-08 15:36:48+00:00
project 147908,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 13:09:44+00:00
project 147908,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 13:09:50+00:00
project 147908,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 05:15:02+00:00
project 147908,Request Payment,2017-01-25 11:02:46+00:00
project 147908,Payment Handled,2017-01-30 17:31:40+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 13:53:32+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 13:56:33+00:00
project 147546,Request Payment,2017-01-16 15:08:13+00:00
project 147546,Payment Handled,2017-01-19 17:31:50+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 16:18:33+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-01-16 16:19:49+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 11:23:58+00:00
project 503,Request Payment,2017-01-18 15:38:44+00:00
project 503,Payment Handled,2017-01-23 17:32:19+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 10:35:54+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 10:40:02+00:00
project 147556,Request Payment,2017-01-24 09:59:44+00:00
project 147556,Payment Handled,2017-01-26 17:30:47+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 12:03:11+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 12:03:30+00:00
project 147620,Request Payment,2017-01-19 15:53:59+00:00
project 147620,Payment Handled,2017-01-23 17:32:19+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 13:20:46+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 13:34:53+00:00
project 147843,Request Payment,2017-01-24 11:29:18+00:00
project 147843,Payment Handled,2017-01-26 17:30:47+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 13:54:58+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 13:57:08+00:00
project 503,Request For Payment REJECTED by MISSING,2017-01-18 15:11:08+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 14:52:11+00:00
project 147531,Request For Payment APPROVED by PRE_APPROVER,2017-01-17 14:52:18+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 14:55:00+00:00
project 147531,Request Payment,2017-01-17 15:42:04+00:00
project 147531,Payment Handled,2017-01-19 17:31:50+00:00
project 147908,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 15:12:59+00:00
project 147908,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 15:13:11+00:00
project 147908,Request Payment,2017-01-19 15:24:36+00:00
project 147908,Payment Handled,2017-01-23 17:32:19+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 16:48:39+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 16:48:58+00:00
project 147582,Request Payment,2017-01-19 15:51:22+00:00
project 147582,Payment Handled,2017-01-23 17:32:19+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 09:44:33+00:00
project 147551,Request For Payment APPROVED by PRE_APPROVER,2017-01-18 09:44:39+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-25 05:15:06+00:00
project 147551,Request Payment,2017-01-25 11:02:51+00:00
project 147551,Payment Handled,2017-01-30 17:31:40+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 10:52:56+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 10:53:04+00:00
project 147551,Request Payment,2017-01-19 15:49:06+00:00
project 147551,Payment Handled,2017-01-23 17:32:19+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 11:26:40+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 11:26:45+00:00
project 147843,Request Payment,2017-01-19 15:48:14+00:00
project 147843,Payment Handled,2017-01-23 17:32:19+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 12:01:57+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 12:02:05+00:00
project 147531,Request Payment,2017-01-26 13:32:03+00:00
project 147531,Payment Handled,2017-01-30 17:31:40+00:00
project 147742,Request For Payment SUBMITTED by EMPLOYEE,2017-01-18 22:05:48+00:00
project 147742,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-18 22:08:33+00:00
project 147742,Request Payment,2017-01-19 15:46:45+00:00
project 147742,Payment Handled,2017-01-23 17:32:19+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 14:52:01+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-01-19 14:52:36+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 08:50:59+00:00
project 503,Request Payment,2017-01-23 13:05:49+00:00
project 503,Payment Handled,2017-01-26 17:30:47+00:00
project 147531,Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 11:15:28+00:00
project 147531,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 11:15:35+00:00
project 147531,Request Payment,2017-01-23 14:46:03+00:00
project 147531,Payment Handled,2017-01-26 17:30:47+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-24 14:12:43+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-24 14:31:20+00:00
project 147546,Request Payment,2017-01-27 12:09:45+00:00
project 147546,Payment Handled,2017-01-30 17:31:40+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2017-01-24 14:41:09+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-24 14:51:06+00:00
project 147582,Request Payment,2017-01-26 13:28:05+00:00
project 147582,Payment Handled,2017-01-30 17:31:40+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 10:18:54+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-26 10:19:03+00:00
project 147546,Request Payment,2017-01-27 12:08:31+00:00
project 147546,Payment Handled,2017-01-30 17:31:40+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 11:54:32+00:00
project 503,Request For Payment REJECTED by PRE_APPROVER,2017-01-26 11:54:39+00:00
project 503,Request For Payment REJECTED by EMPLOYEE,2017-02-01 10:51:50+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 12:54:23+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-02-01 12:54:48+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-01 15:51:13+00:00
project 503,Request For Payment REJECTED by MISSING,2017-02-08 15:41:32+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 11:55:32+00:00
project 503,Request For Payment REJECTED by PRE_APPROVER,2017-01-26 11:55:39+00:00
project 503,Request For Payment REJECTED by EMPLOYEE,2017-02-01 10:52:20+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 12:53:47+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-02-01 12:54:14+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-01 15:51:38+00:00
project 503,Request For Payment REJECTED by MISSING,2017-02-08 15:39:53+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 13:39:33+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-01-26 14:01:14+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 13:11:45+00:00
project 503,Request Payment,2017-01-27 14:34:02+00:00
project 503,Payment Handled,2017-01-30 17:31:40+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-27 11:35:34+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 11:36:30+00:00
project 503,Request Payment,2017-02-07 16:09:54+00:00
project 503,Payment Handled,2017-02-20 17:32:08+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-27 13:06:30+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 13:06:41+00:00
project 503,Request Payment,2017-02-10 12:15:54+00:00
project 503,Payment Handled,2017-02-20 17:32:08+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-27 16:04:48+00:00
project 147546,Request For Payment APPROVED by PRE_APPROVER,2017-01-27 16:04:58+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 16:05:23+00:00
project 147546,Request Payment,2017-02-02 14:30:14+00:00
project 147546,Payment Handled,2017-02-06 17:31:45+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-29 12:54:00+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-29 12:58:26+00:00
project 503,Request Payment,2017-01-30 10:36:14+00:00
project 503,Payment Handled,2017-02-02 17:32:54+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 08:48:44+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 08:48:58+00:00
project 147620,Request Payment,2017-02-16 15:46:06+00:00
project 147620,Payment Handled,2017-02-20 17:32:08+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 10:06:21+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 10:06:32+00:00
project 147556,Request Payment,2017-01-31 13:00:12+00:00
project 147556,Payment Handled,2017-02-02 17:32:54+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 10:16:42+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 10:16:50+00:00
project 503,Request Payment,2017-01-31 12:52:55+00:00
project 503,Payment Handled,2017-02-02 17:32:54+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 11:21:20+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 11:22:40+00:00
project 147546,Request Payment,2017-01-31 12:58:59+00:00
project 147546,Payment Handled,2017-02-02 17:32:54+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 12:12:46+00:00
project 147546,Request For Payment APPROVED by PRE_APPROVER,2017-01-30 15:05:08+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 09:21:01+00:00
project 147546,Request Payment,2017-02-02 14:22:21+00:00
project 147546,Payment Handled,2017-02-06 17:31:45+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 13:29:53+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 13:30:07+00:00
project 503,Request Payment,2017-01-31 13:15:06+00:00
project 503,Payment Handled,2017-02-02 17:32:54+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 13:31:58+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 13:32:01+00:00
project 503,Request Payment,2017-01-31 13:14:17+00:00
project 503,Payment Handled,2017-02-02 17:32:54+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 15:06:29+00:00
project 147546,Request For Payment APPROVED by PRE_APPROVER,2017-01-30 15:08:06+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 09:20:59+00:00
project 147546,Request Payment,2017-01-31 16:51:32+00:00
project 147546,Payment Handled,2017-02-02 17:32:54+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 13:57:57+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 13:58:07+00:00
project 503,Request Payment,2017-02-15 15:24:38+00:00
project 503,Payment Handled,2017-02-20 17:32:08+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 15:03:12+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 15:03:23+00:00
project 147556,Request Payment,2017-02-06 08:20:15+00:00
project 147556,Payment Handled,2017-02-09 17:32:18+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 15:04:40+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 15:04:42+00:00
project 147556,Request Payment,2017-02-06 08:19:49+00:00
project 147556,Payment Handled,2017-02-09 17:32:18+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 17:30:44+00:00
project 503,Request For Payment REJECTED by PRE_APPROVER,2017-02-01 17:32:04+00:00
project 503,Request For Payment REJECTED by EMPLOYEE,2017-02-02 08:53:30+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 09:26:58+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-02-02 09:28:25+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 09:34:15+00:00
project 503,Request Payment,2017-02-09 10:23:59+00:00
project 503,Payment Handled,2017-02-13 17:32:18+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 09:29:48+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 09:30:29+00:00
project 147546,Request Payment,2017-02-03 14:27:47+00:00
project 147546,Payment Handled,2017-02-06 17:31:45+00:00
project 147572,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 10:16:20+00:00
project 147572,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 10:17:03+00:00
project 147572,Request Payment,2017-02-07 16:09:17+00:00
project 147572,Payment Handled,2017-02-09 17:32:18+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 11:32:23+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 11:32:31+00:00
project 147546,Request Payment,2017-02-03 11:27:25+00:00
project 147546,Payment Handled,2017-02-06 17:31:45+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 17:42:22+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 17:43:01+00:00
project 147620,Request Payment,2017-02-07 16:08:03+00:00
project 147620,Payment Handled,2017-02-13 17:32:18+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 17:54:36+00:00
UNKNOWN,Request For Payment REJECTED by SUPERVISOR,2017-02-02 17:54:43+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2017-02-06 13:44:07+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 18:29:16+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 18:30:59+00:00
project 147546,Request Payment,2017-02-06 08:39:16+00:00
project 147546,Payment Handled,2017-02-09 17:32:18+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 08:17:08+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-24 09:14:18+00:00
project 147843,Request Payment,2017-03-28 13:57:52+00:00
project 147843,Payment Handled,2017-03-30 17:31:17+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 09:13:33+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-03 09:13:36+00:00
project 503,Request Payment,2017-02-03 11:33:18+00:00
project 503,Payment Handled,2017-02-06 17:31:45+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-02-04 16:43:59+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-04 16:44:13+00:00
project 147546,Request Payment,2017-02-07 16:06:03+00:00
project 147546,Payment Handled,2017-02-09 17:32:18+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 10:12:55+00:00
project 147551,Request For Payment APPROVED by PRE_APPROVER,2017-02-06 10:14:08+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-07 15:42:55+00:00
project 147551,Request Payment,2017-02-10 12:15:32+00:00
project 147551,Payment Handled,2017-02-13 17:32:18+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 11:49:39+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 11:51:56+00:00
project 147556,Request Payment,2017-02-07 16:04:08+00:00
project 147556,Payment Handled,2017-02-09 17:32:18+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 12:21:29+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 12:22:21+00:00
project 503,Request Payment,2017-02-07 16:01:40+00:00
project 503,Payment Handled,2017-02-09 17:32:18+00:00
project 147551,Request For Payment SUBMITTED by EMPLOYEE,2017-02-07 09:51:06+00:00
project 147551,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-07 09:55:22+00:00
project 147551,Request Payment,2017-02-07 16:00:24+00:00
project 147551,Payment Handled,2017-02-09 17:32:18+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-07 20:50:37+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-07 20:50:45+00:00
project 503,Request Payment,2017-02-08 13:03:45+00:00
project 503,Payment Handled,2017-02-13 17:32:18+00:00
project 147556,Request For Payment SUBMITTED by EMPLOYEE,2017-02-08 16:53:26+00:00
project 147556,Request For Payment APPROVED by PRE_APPROVER,2017-02-08 16:53:38+00:00
project 147556,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-13 12:53:36+00:00
project 147556,Request Payment,2017-02-14 10:54:51+00:00
project 147556,Payment Handled,2017-02-16 17:31:57+00:00
project 147546,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 10:43:46+00:00
project 147546,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-09 10:43:50+00:00
project 147546,Request Payment,2017-02-13 14:00:02+00:00
project 147546,Payment Handled,2017-02-16 17:31:57+00:00
project 147582,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 11:36:28+00:00
project 147582,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-09 11:42:15+00:00
project 147582,Request Payment,2017-02-13 13:58:43+00:00
project 147582,Payment Handled,2017-02-16 17:31:57+00:00
UNKNOWN,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 13:44:50+00:00
UNKNOWN,Request For Payment REJECTED by PRE_APPROVER,2017-02-09 13:45:21+00:00
UNKNOWN,Request For Payment REJECTED by EMPLOYEE,2017-02-14 08:17:18+00:00
project 503,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 14:00:10+00:00
project 503,Request For Payment APPROVED by PRE_APPROVER,2017-02-09 14:00:15+00:00
project 503,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-14 08:22:14+00:00
project 503,Request For Payment REJECTED by MISSING,2017-02-21 13:29:00+00:00
project 147620,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 14:44:21+00:00
project 147620,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-09 14:47:27+00:00
project 147620,Request Payment,2017-02-15 15:22:07+00:00
project 147620,Payment Handled,2017-02-20 17:32:08+00:00
project 147843,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 16:38:24+00:00
project 147843,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-10 10:54:43+00:00
project 147843,Request Payment,2017-02-10 12:15:02+00:00
